collection,source_rel_path,filename,file_status,curve_index,short_name,long_name,unit,samples,duration_s,min,max,mean,sample_columns,curve_metadata_keys
ddd,ddd\ddd_y_250908152741.xml.gz,ddd_y_250908152741.xml.gz,,12,p Vac T a,Vacuum tank pressure,[mbar],7,80.0,966.0,968.0,966.2857142857143,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908152741.xml.gz,ddd_y_250908152741.xml.gz,,13,p VacD2 a,VacD2: Vacuum pressure moving platen,[mbar],197,80.0,954.0,960.0,957.0789035532995,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908153053.xml.gz,ddd_y_250908153053.xml.gz,,0,p Soll,Nominal pressure,[bar],270,80.0,3.0,210.0,129.64444444444445,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908153053.xml.gz,ddd_y_250908153053.xml.gz,,1,p Sys   a,System pressure,[bar],1895,80.0,0.0,169.0,90.77941952506596,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908153053.xml.gz,ddd_y_250908153053.xml.gz,,2,s L     a,die position,[mm],2879,80.0,0.0,990.7,427.37276832233414,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908153053.xml.gz,ddd_y_250908153053.xml.gz,,3,p L     a,closing pressure,[bar],2258,80.0,2.0,203.0,107.57656864481842,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908153053.xml.gz,ddd_y_250908153053.xml.gz,,4,s I     a,Plunger stroke,[mm],3527,80.0,0.0,764.0,336.45321803232207,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908153053.xml.gz,ddd_y_250908153053.xml.gz,,5,v I     a,Casting cylinder velocity,[m/s],434,80.0,-0.37,3.39,0.7589400921658986,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908153053.xml.gz,ddd_y_250908153053.xml.gz,,6,p IM    a,Metal pressure: actual,[bar],1974,80.0,0.0,414.0,271.3328267477204,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908153053.xml.gz,ddd_y_250908153053.xml.gz,,7,p I.1   a,casting cyl. primary,[bar],1042,80.0,-3.0,163.0,104.51823416506718,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
